id;name;phone;address;room_number
1;Assistant;"2833732680";functionalities;96181
2;Western Sahara;"7679191749";JBOD;42849
3;Progressive;"+25860772420";Small Credit Card Account Chicken;22069
4;Accounts Falkland Islands Pound;"6845855741";Auto Loan Account revolutionary Concrete;25508
5;bypass hacking Christmas Island;"+3 5406994139";Auto Loan Account;22517
6;Cotton;"5412680618";high-level fuchsia;25951
7;Forint Steel black;"+0692895466499";New Leu Licensed haptic;42497
8;withdrawal Cambridgeshire Brand;"+371993578477";synthesizing salmon Strategist;9976
9;deliverables;"+44 2850367864";needs-based;604
10;program Infrastructure;"+769245724258";Ville payment Parkway;71433
