id;name;phone;address
1;product;"+5951960336078";Gorgeous Plastic Salad American Samoa
2;Human;"6799336467";invoice technologies
3;Estonia functionalities;"8347457195";turn-key
4;attitude-oriented withdrawal Dynamic;"8001327221";Outdoors
5;Incredible Frozen Computer haptic wireless;"9511747828";Coordinator
6;programming;"+270773124484";transform Table
7;invoice SDD strategic;"+4598008007907";Towels grey
8;Buckinghamshire Human;"9212522117";quantifying
9;1080p compress proactive;"+072384001642";Product
10;Sausages parse;"+9309619998992";lime
